Comment,Sentiment
enjoyable,negative
valuable,positive
love,positive
rude,neutral
cool,positive
enjoyable,negative
brilliant,positive
excellent,neutral
useful,positive
useful,negative
worst,positive
adorable,negative
poor,neutral
worst,positive
funny,negative
lame,negative
boring,positive
worst,neutral
trash,positive
clever,negative
boring,positive
cool,positive
motivating,positive
waste,negative
lame,negative
best,negative
fantastic,positive
dull,positive
okay,negative
love,neutral
funny,positive
clueless,negative
helpful,positive
cool,negative
amazing,neutral
enjoyable,neutral
confusing,negative
sad,positive
best,neutral
hate,negative
amazing,positive
mediocre,negative
boring,neutral
annoying,neutral
dull,positive
helpful,negative
rude,neutral
stupid,positive
hate,negative
interesting,negative
adorable,negative
poor,positive
sad,negative
boring,neutral
disappointing,negative
sad,negative
valuable,positive
confusing,positive
mediocre,negative
insightful,positive
terrible,neutral
adorable,positive
hate,negative
wonderful,positive
love,neutral
rude,positive
hate,positive
excellent,positive
poor,neutral
cool,positive
okay,positive
confusing,positive
worst,negative
mediocre,positive
best,positive
valuable,positive
love,negative
awesome,negative
best,negative
helpful,neutral
amazing,neutral
worst,positive
awesome,negative
rude,negative
worst,neutral
useful,negative
interesting,negative
rude,negative
stupid,neutral
stupid,positive
motivating,positive
great,positive
enjoyable,positive
dull,negative
helpful,positive
amazing,positive
rude,neutral
waste,negative
insightful,negative
motivating,positive
excellent,positive
worst,neutral
clueless,negative
stupid,positive
poor,neutral
lame,neutral
fantastic,neutral
stupid,negative
awesome,positive
stupid,negative
clueless,negative
hate,positive
funny,negative
awesome,positive
great,negative
mediocre,positive
hate,negative
enjoyable,positive
fantastic,neutral
amazing,negative
love,negative
love,neutral
mediocre,negative
nice,neutral
pathetic,positive
enjoyable,positive
pathetic,positive
sad,positive
trash,neutral
clueless,positive
excellent,negative
enjoyable,negative
love,negative
valuable,negative
adorable,negative
nice,positive
pathetic,positive
helpful,negative
lame,negative
dull,negative
boring,neutral
disappointing,negative
dull,negative
dull,positive
annoying,negative
trash,negative
useful,positive
dull,positive
best,negative
enjoyable,positive
motivating,positive
awesome,negative
fantastic,positive
nice,neutral
funny,positive
enjoyable,negative
disappointing,negative
rude,neutral
fantastic,positive
amazing,negative
clueless,negative
motivating,negative
worst,negative
love,negative
pathetic,neutral
pathetic,positive
worst,positive
waste,neutral
enjoyable,positive
boring,neutral
funny,negative
clueless,negative
interesting,positive
boring,positive
boring,negative
dull,neutral
excellent,neutral
clueless,positive
pathetic,positive
motivating,positive
awesome,neutral
brilliant,positive
boring,positive
mediocre,positive
pathetic,positive
disappointing,neutral
pathetic,negative
sad,positive
useful,positive
interesting,positive
clever,positive
worst,positive
great,negative
insightful,positive
disappointing,positive
lame,positive
useful,negative
okay,negative
motivating,negative
amazing,negative
disappointing,negative
okay,positive
valuable,neutral
funny,positive
annoying,negative
adorable,negative
brilliant,negative
mediocre,neutral
funny,negative
brilliant,neutral
annoying,neutral
pathetic,neutral
helpful,neutral
motivating,neutral
poor,negative
enjoyable,positive
confusing,positive
poor,negative
awesome,neutral
useful,negative
dull,neutral
best,neutral
excellent,positive
wonderful,positive
trash,positive
stupid,positive
helpful,negative
okay,neutral
mediocre,negative
boring,negative
awesome,positive
waste,positive
great,negative
clueless,positive
pathetic,positive
amazing,negative
stupid,positive
brilliant,neutral
okay,positive
funny,positive
annoying,positive
worst,positive
motivating,negative
worst,negative
useful,negative
rude,negative
adorable,positive
clever,negative
poor,positive
annoying,positive
stupid,negative
best,neutral
stupid,negative
best,positive
valuable,positive
confusing,neutral
confusing,positive
boring,positive
stupid,positive
okay,positive
adorable,positive
motivating,negative
sad,negative
motivating,neutral
hate,positive
cool,positive
annoying,negative
rude,negative
helpful,negative
funny,neutral
interesting,positive
motivating,neutral
waste,negative
lame,positive
lame,neutral
trash,negative
clever,positive
clever,positive
rude,positive
fantastic,negative
fantastic,positive
insightful,positive
cool,positive
trash,negative
motivating,neutral
dull,negative
motivating,positive
great,neutral
brilliant,negative
sad,neutral
stupid,negative
interesting,negative
dull,negative
trash,positive
valuable,negative
disappointing,neutral
stupid,neutral
clueless,neutral
worst,negative
valuable,positive
wonderful,positive
stupid,negative
motivating,negative
cool,positive
pathetic,positive
excellent,negative
motivating,negative
funny,neutral
confusing,negative
best,negative
wonderful,negative
funny,neutral
poor,negative
worst,neutral
pathetic,neutral
lame,neutral
excellent,positive
boring,positive
fantastic,positive
boring,positive
mediocre,positive
interesting,positive
poor,positive
motivating,negative
amazing,negative
enjoyable,positive
valuable,negative
mediocre,negative
stupid,negative
best,neutral
worst,positive
nice,positive
helpful,negative
adorable,positive
annoying,negative
awesome,positive
rude,positive
okay,positive
hate,positive
waste,negative
excellent,negative
love,positive
dull,positive
insightful,positive
boring,positive
pathetic,neutral
excellent,positive
lame,negative
best,neutral
lame,positive
lame,negative
disappointing,neutral
love,neutral
clueless,negative
motivating,negative
rude,neutral
great,positive
enjoyable,neutral
sad,negative
disappointing,negative
pathetic,neutral
trash,neutral
stupid,positive
poor,positive
okay,negative
nice,negative
trash,negative
brilliant,neutral
interesting,neutral
brilliant,negative
dull,positive
mediocre,negative
clueless,negative
mediocre,negative
excellent,negative
amazing,negative
waste,positive
awesome,positive
awesome,negative
insightful,positive
pathetic,positive
best,positive
poor,negative
awesome,positive
okay,neutral
enjoyable,negative
great,negative
lame,negative
valuable,positive
funny,negative
waste,neutral
mediocre,negative
okay,neutral
clueless,negative
lame,positive
valuable,positive
hate,negative
dull,positive
great,positive
trash,neutral
great,positive
waste,positive
okay,neutral
mediocre,neutral
mediocre,positive
cool,neutral
enjoyable,neutral
adorable,negative
motivating,positive
trash,positive
clueless,negative
excellent,positive
terrible,neutral
great,negative
adorable,negative
insightful,neutral
wonderful,neutral
terrible,positive
brilliant,positive
pathetic,negative
awesome,positive
great,negative
sad,negative
okay,neutral
worst,negative
okay,negative
boring,positive
dull,negative
pathetic,positive
fantastic,neutral
annoying,positive
worst,negative
waste,positive
stupid,positive
motivating,negative
motivating,negative
clueless,positive
waste,positive
funny,negative
awesome,negative
motivating,positive
poor,negative
terrible,positive
valuable,negative
nice,positive
waste,negative
wonderful,positive
boring,neutral
stupid,positive
excellent,positive
interesting,positive
mediocre,neutral
rude,negative
valuable,negative
mediocre,neutral
terrible,neutral
mediocre,negative
insightful,positive
helpful,neutral
sad,positive
useful,negative
valuable,negative
adorable,negative
best,negative
cool,negative
adorable,neutral
terrible,positive
clueless,positive
amazing,negative
worst,neutral
stupid,positive
stupid,positive
adorable,positive
confusing,positive
enjoyable,neutral
pathetic,negative
worst,negative
excellent,negative
pathetic,negative
clueless,positive
waste,positive
nice,negative
excellent,positive
best,negative
stupid,positive
trash,positive
interesting,positive
annoying,negative
best,positive
lame,neutral
nice,positive
brilliant,negative
adorable,neutral
waste,neutral
brilliant,neutral
waste,positive
amazing,positive
helpful,negative
dull,positive
hate,positive
wonderful,neutral
brilliant,negative
okay,negative
great,neutral
stupid,negative
waste,negative
best,negative
cool,positive
adorable,positive
excellent,neutral
okay,neutral
enjoyable,neutral
enjoyable,negative
hate,neutral
wonderful,positive
great,positive
stupid,negative
excellent,negative
valuable,positive
useful,positive
confusing,positive
waste,negative
amazing,negative
terrible,negative
interesting,positive
clever,negative
helpful,negative
nice,negative
poor,positive
amazing,negative
fantastic,neutral
boring,positive
great,positive
valuable,negative
clueless,negative
clever,positive
brilliant,positive
rude,positive
awesome,neutral
lame,negative
interesting,negative
helpful,neutral
best,positive
sad,neutral
adorable,negative
disappointing,positive
wonderful,neutral
brilliant,neutral
enjoyable,neutral
fantastic,positive
terrible,neutral
mediocre,neutral
brilliant,positive
enjoyable,positive
funny,positive
nice,neutral
dull,negative
annoying,positive
dull,positive
rude,positive
enjoyable,negative
awesome,negative
funny,neutral
nice,negative
dull,negative
best,positive
motivating,positive
clever,negative
disappointing,positive
pathetic,positive
cool,neutral
okay,negative
cool,positive
useful,positive
clueless,positive
adorable,neutral
stupid,positive
brilliant,positive
annoying,negative
confusing,positive
hate,positive
love,positive
wonderful,positive
awesome,positive
funny,positive
okay,neutral
excellent,positive
useful,negative
waste,negative
terrible,negative
pathetic,positive
okay,positive
rude,negative
clever,negative
waste,negative
worst,positive
dull,neutral
rude,positive
dull,positive
adorable,negative
mediocre,positive
rude,negative
dull,negative
dull,neutral
clueless,neutral
adorable,negative
fantastic,negative
interesting,positive
amazing,negative
motivating,positive
annoying,positive
nice,positive
dull,negative
valuable,negative
nice,neutral
stupid,positive
disappointing,neutral
confusing,negative
great,negative
best,negative
boring,positive
terrible,neutral
trash,negative
great,neutral
motivating,negative
awesome,neutral
confusing,negative
pathetic,positive
useful,positive
cool,negative
mediocre,negative
best,positive
lame,neutral
fantastic,negative
nice,neutral
motivating,neutral
insightful,negative
stupid,neutral
awesome,negative
cool,neutral
disappointing,positive
dull,positive
interesting,negative
great,negative
wonderful,negative
great,negative
clever,positive
funny,neutral
excellent,negative
clueless,negative
clueless,negative
terrible,negative
terrible,neutral
brilliant,negative
interesting,positive
cool,negative
hate,negative
amazing,neutral
awesome,positive
nice,neutral
sad,negative
awesome,neutral
poor,positive
pathetic,neutral
insightful,neutral
dull,neutral
wonderful,positive
rude,positive
enjoyable,negative
mediocre,positive
insightful,positive
funny,positive
waste,negative
awesome,negative
great,positive
trash,positive
trash,negative
interesting,negative
excellent,positive
love,positive
clueless,neutral
cool,neutral
hate,neutral
boring,neutral
useful,positive
enjoyable,negative
clever,negative
insightful,negative
clever,positive
insightful,negative
confusing,negative
trash,positive
love,negative
fantastic,positive
insightful,positive
clever,positive
motivating,positive
worst,positive
love,neutral
trash,negative
interesting,negative
great,positive
valuable,negative
sad,negative
terrible,negative
interesting,negative
terrible,neutral
interesting,neutral
annoying,negative
worst,positive
great,negative
insightful,negative
disappointing,negative
boring,neutral
nice,negative
useful,neutral
excellent,positive
okay,positive
wonderful,positive
useful,neutral
okay,neutral
rude,negative
sad,negative
poor,negative
sad,neutral
best,neutral
funny,negative
pathetic,negative
funny,positive
fantastic,negative
valuable,negative
pathetic,positive
brilliant,neutral
cool,negative
great,neutral
confusing,positive
dull,negative
lame,negative
cool,positive
disappointing,negative
awesome,positive
great,positive
waste,positive
mediocre,positive
insightful,negative
hate,positive
mediocre,negative
fantastic,negative
amazing,negative
mediocre,neutral
lame,negative
trash,negative
interesting,positive
mediocre,negative
adorable,neutral
awesome,positive
rude,positive
stupid,positive
love,negative
lame,negative
hate,negative
mediocre,positive
dull,neutral
excellent,positive
hate,positive
worst,negative
boring,positive
mediocre,positive
hate,positive
helpful,negative
funny,neutral
excellent,neutral
confusing,negative
clever,positive
stupid,negative
love,negative
best,positive
clueless,positive
dull,positive
terrible,negative
enjoyable,positive
interesting,neutral
enjoyable,positive
lame,positive
mediocre,negative
best,negative
interesting,positive
nice,positive
annoying,positive
best,positive
sad,positive
terrible,neutral
funny,negative
confusing,negative
adorable,positive
lame,positive
insightful,positive
rude,negative
poor,negative
brilliant,positive
clueless,negative
disappointing,negative
mediocre,positive
insightful,positive
disappointing,negative
clueless,negative
motivating,positive
lame,positive
cool,negative
disappointing,positive
disappointing,negative
sad,negative
trash,positive
useful,positive
trash,negative
wonderful,positive
worst,positive
amazing,negative
funny,positive
wonderful,negative
poor,positive
clueless,negative
adorable,positive
worst,neutral
wonderful,negative
disappointing,positive
boring,negative
annoying,positive
dull,negative
useful,neutral
sad,negative
love,positive
disappointing,negative
trash,positive
clever,negative
boring,negative
love,positive
useful,positive
rude,negative
mediocre,negative
great,positive
disappointing,positive
mediocre,negative
sad,positive
brilliant,positive
annoying,positive
motivating,positive
annoying,negative
waste,neutral
awesome,negative
mediocre,positive
hate,negative
clever,negative
clueless,positive
useful,neutral
adorable,negative
nice,neutral
funny,negative
motivating,negative
disappointing,positive
terrible,negative
great,positive
excellent,neutral
